experience_year,annual_salary
1,49909
2,49909
3,61825
4,61825
5,61825
6,105504
7,105504
8,105504
9,111714
10,114894
11,114894
12,114894
13,114894
14,126018
15,126018
16,126018
17,126018
18,126018
19,126018
20,139882
21,139882
22,139882
23,139882
24,139882
25,139882
26,139882
27,139882
28,139882
29,139882
30,139882
31,139882
32,139882
33,139882
34,139882
35,139882
36,139882
37,139882
38,139882
39,139882
40,139882
41,139882
42,139882
43,139882
44,139882
45,139882
46,139882
47,139882
48,139882
49,139882
